title,author,price_sale,sale,price_regular,rating,reviewers,img_url,url
Ai Che Lưng Cho Bạn (Tái Bản 2017),Keith Ferrazzi,68900,37,110000,4.6,47,https://salt.tikicdn.com/cache/280x280/ts/product/a4/0d/59/bc28f653827780b3967a4904fb6d0a9a.jpg,https://tiki.vn/ai-che-lung-cho-ban-tai-ban-2017-p580061.html?spid=580075&src=category-page-8322&2hi=0
Bách Khoa Thai Nghén - Sinh Nở Và Chăm Sóc...,Trạch Quế Vinh,97000,31,140000,4.8,102,https://salt.tikicdn.com/cache/280x280/ts/product/85/39/85/b2d72c3a3292286d6632f89044a53fc4.jpg,https://tiki.vn/bach-khoa-thai-nghen-sinh-no-va-cham-soc-em-be-p375266.html?spid=20490332&src=category-page-8322&2hi=0
Út Quyên Và Tôi (Tái Bản),Nguyễn Nhật Ánh,24345,46,45000,4.6,59,https://salt.tikicdn.com/cache/280x280/ts/product/d0/74/6d/f16b61d13e44e00f714201631b161647.jpg,https://tiki.vn/ut-quyen-va-toi-tai-ban-p8835157.html?spid=8835158&src=category-page-8322&2hi=0
The Subtle Art Of Not Giving A F*Ck,Mark Manson,247500,40,414000,4.5,112,https://salt.tikicdn.com/cache/280x280/ts/product/fb/30/d3/89381b5d1e438dffbdf76b493e8607d2.jpg,https://tiki.vn/the-subtle-art-of-not-giving-a-f-ck-p706939.html?spid=711113&src=category-page-8322&2hi=0
Người Bán Hàng Vĩ Đại Nhất Thế Giới - Tập 2...,Og Mandino,46800,35,72000,4.9,24,https://salt.tikicdn.com/cache/280x280/ts/product/30/eb/90/99decea9c63809bd781e334efa8bf23d.jpg,https://tiki.vn/nguoi-ban-hang-vi-dai-nhat-the-gioi-tap-2-tai-ban-2019-p25072626.html?spid=25072627&src=category-page-8322&2hi=0
Nghĩ Lớn Để Thành Công (Tái Bản 2019),Donald J. Trump,83200,35,128000,4.4,36,https://salt.tikicdn.com/cache/280x280/ts/product/ca/c2/a8/a25eb6fc0a3a4e7283d9fddf264fdff6.jpg,https://tiki.vn/nghi-lon-de-thanh-cong-tai-ban-2019-p14683309.html?spid=14683310&src=category-page-8322&2hi=0
"Nắm Nhầm Một Bàn Tay, Tìm Được Người Như Ý",Cốc Hựu Tử,90000,9,99000,5.0,9,https://salt.tikicdn.com/cache/280x280/ts/product/d9/e8/39/1d9f5b3043e5bc44c0e4d27646932cca.jpg,https://tiki.vn/cuon-sach-van-hoc-dac-sac-nam-nham-mot-ban-tay-tim-duoc-nguoi-nhu-y-p56271593.html?spid=58718156&src=category-page-8322&2hi=0
Phương Pháp Dạy Con Không Đòn Roi,Daniel J. Siegel - Tina Payne Bryson,76280,30,109000,4.6,38,https://salt.tikicdn.com/cache/280x280/media/catalog/product/d/o/don-roi-b1.u2469.d20170206.t102346.578640.jpg,https://tiki.vn/phuong-phap-day-con-khong-don-roi-p573648.html?spid=20488898&src=category-page-8322&2hi=0
Ăn Ít Để Khỏe,Yoshinori Nagumo,51350,35,79000,4.2,69,https://salt.tikicdn.com/cache/280x280/ts/product/26/a9/48/2329ded784fba29b9a535c8b5ee96382.jpg,https://tiki.vn/an-it-de-khoe-p2314955.html?spid=2355913&src=category-page-8322&2hi=0
Biến Động - Jared Diamon,jared diamond,250000,22,319000,1.0,1,https://salt.tikicdn.com/cache/280x280/ts/product/10/91/3a/21557ddbf30d3fbc1f208798f846b1f1.jpg,https://tiki.vn/bien-dong-jared-diamon-p57964820.html?spid=57964821&src=category-page-8322&2hi=0
